"Training Session","Í×áæÇÕàæÉÚæÏãç"
"Activity","ÊÖÙçÄÖãæ"
"Research","ÕàçËÕß"
"Activity Event","ÊÖÙçÄÖãæĞæËÕàæ"
"Worship","ÏÖãçÀÜæ"
"Play","ÄàæÒßæ"
"Socialize","ĞÚæËÕŞ"
"Read","×ÛæÄÖç"
" empty "," ÉÖãÄÚè "
" pick up "," ĞçÌÕå "
" empties "," ÌÕãÉÖã "
" embraces "," ×ãÀŞæ "
" picks up "," ĞçÌÕå "
" has shared many tales from beyond "," ÃáÍÕâåÇÕŞåÍ×åÄÖÙÇÜçÒæ×àåÃâÄÚèÈÖæĞæ "
" has shared a rumor from abroad."," ÃáÍÕâåÇÕŞåÕÍÕÛ×æÖÜæÄÚèÏÖàçÖáç."
" has shared a few rumors."," ÃáÍÕâåÇÕŞåÍÕÛÍ×åÏÖàçÖáç."
" has discovered "," ÃØÍÕàæÇÕŞå "
" gives you "," ÈİåÆÕå "
"Ponder ","ÔÔÖÙå "
" has become a student of "," ĞÓÖãç "
"Learn ","Í×ÛçÍÕç "
"Teach ","ËÕŞæÄŞå "
"Discuss ","ÅŞåÇÖáæ "
"Write","ÍÕÛå"
"Write about ","ÂÕŞçÍÕÛå "
"Meditate on ","ÂÕãçÍÕâå "
"Copy","ÃÖæÎæ"
"Go to Combat Training","ËÕáæÍÕãçÎàæÄßåÍ×áæÇÕàæ"
"Pray to ","ÌÕçÄŞå "
"Lead Combat Training","ÇÕãåÄŞåÎàæÄßåÍ×áæÇÕàæ"
"Organize Combat Training","ÒÖåÎÎàæÄßåÍ×áæÇÕàæ"
"Play Make Believe","ÖàçËÕØåÍÕâåÕßçÍÕæ"
"Wait for Combat Training","ÄãåÄÜæÎàæÄßåÍ×áæÇÕàæ"
"Toy","ÖàçË×æ"
"Play with ","Öàç "
"Promote ","ÓÖæËÕáæ "
"Preach on ","Í×àÕâç "
"Law","ÃØåÇ×æ"
"Inveigh Against ","ÃàåÄÖİæ "
"Family","ËÕØÅÕãç"
"Loyalty","ÎÖãÏãç"
